time_iso8601,forks_cumulative
2019-04-09 00:00:00+00:00,1
2019-08-26 00:00:00+00:00,2
2019-08-28 00:00:00+00:00,3
2019-09-18 00:00:00+00:00,4
2020-02-10 00:00:00+00:00,5
2020-05-19 00:00:00+00:00,6
2020-05-28 00:00:00+00:00,7
2020-06-18 00:00:00+00:00,8
2020-08-25 00:00:00+00:00,9
2020-08-29 00:00:00+00:00,10
2020-09-16 00:00:00+00:00,11
2020-10-19 00:00:00+00:00,12
2020-12-15 00:00:00+00:00,13
2021-04-05 00:00:00+00:00,14
2021-04-19 00:00:00+00:00,15
2021-05-07 00:00:00+00:00,16
2021-06-10 00:00:00+00:00,17
2021-06-16 00:00:00+00:00,18
2022-01-17 00:00:00+00:00,19
2022-02-09 00:00:00+00:00,20
2022-03-06 00:00:00+00:00,21
2022-03-19 00:00:00+00:00,22
2022-03-29 00:00:00+00:00,23
2022-06-20 00:00:00+00:00,24
2022-06-29 00:00:00+00:00,25
2022-07-19 00:00:00+00:00,26
2022-10-18 00:00:00+00:00,27
2023-01-23 00:00:00+00:00,28
2023-03-01 00:00:00+00:00,30
2023-03-02 00:00:00+00:00,31
2023-03-17 00:00:00+00:00,32
2023-03-30 00:00:00+00:00,33
2023-03-31 00:00:00+00:00,34
2023-10-06 00:00:00+00:00,35
2023-11-17 00:00:00+00:00,36
2023-11-22 00:00:00+00:00,37
2023-12-01 00:00:00+00:00,38
2024-01-11 00:00:00+00:00,39
2024-01-23 00:00:00+00:00,40
2024-02-15 00:00:00+00:00,41
