time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,81,15,207,25
2026-03-30 00:00:00+00:00,104,39,151,14
2026-03-31 00:00:00+00:00,99,36,254,20
2026-04-01 00:00:00+00:00,192,56,177,12
2026-04-02 00:00:00+00:00,252,48,314,16
2026-04-03 00:00:00+00:00,222,32,166,23
2026-04-04 00:00:00+00:00,68,22,78,16
2026-04-05 00:00:00+00:00,29,17,101,17
2026-04-06 00:00:00+00:00,131,36,170,15
2026-04-07 00:00:00+00:00,77,17,226,19
2026-04-08 00:00:00+00:00,120,42,126,14
2026-04-09 00:00:00+00:00,106,20,170,10
2026-04-10 00:00:00+00:00,70,13,67,9
2026-04-11 00:00:00+00:00,9,8,30,11
