time_iso8601,stars_cumulative
2019-02-20 00:00:00+00:00,1
2019-04-09 00:00:00+00:00,2
2020-05-28 00:00:00+00:00,3
2020-07-06 00:00:00+00:00,4
2020-08-24 00:00:00+00:00,5
2020-08-27 00:00:00+00:00,6
2020-10-14 00:00:00+00:00,7
2020-10-17 00:00:00+00:00,8
2020-10-20 00:00:00+00:00,9
2020-12-09 00:00:00+00:00,10
2021-01-01 00:00:00+00:00,11
2021-01-05 00:00:00+00:00,12
2021-03-30 00:00:00+00:00,13
2021-05-17 00:00:00+00:00,14
2021-08-13 00:00:00+00:00,15
2021-10-12 00:00:00+00:00,16
2021-11-12 00:00:00+00:00,17
2022-02-25 00:00:00+00:00,18
2022-03-06 00:00:00+00:00,19
2022-08-30 00:00:00+00:00,21
2022-09-15 00:00:00+00:00,23
2022-10-06 00:00:00+00:00,24
2023-03-15 00:00:00+00:00,25
2023-03-21 00:00:00+00:00,26
2023-04-18 00:00:00+00:00,27
