time_iso8601,forks_cumulative
2018-04-25 00:00:00+00:00,1
2018-05-23 00:00:00+00:00,3
2018-10-06 00:00:00+00:00,4
2018-11-14 00:00:00+00:00,5
2018-12-20 00:00:00+00:00,6
2019-02-05 00:00:00+00:00,7
2019-03-06 00:00:00+00:00,8
2019-04-29 00:00:00+00:00,9
2019-07-26 00:00:00+00:00,10
2019-08-22 00:00:00+00:00,11
2020-03-11 00:00:00+00:00,12
2020-05-19 00:00:00+00:00,13
2020-06-15 00:00:00+00:00,14
2020-09-24 00:00:00+00:00,15
2021-03-12 00:00:00+00:00,16
2021-06-18 00:00:00+00:00,17
2022-01-28 00:00:00+00:00,18
2022-02-28 00:00:00+00:00,19
2022-08-20 00:00:00+00:00,20
